time,open,high,low,close,tick_volume,spread,real_volume
2023-01-27 07:00:00,1.08656,1.08734,1.08649,1.08731,12418,6,1862700000
2023-01-27 08:00:00,1.08731,1.08734,1.08657,1.08691,15905,5,2385750000
2023-01-27 09:00:00,1.0869,1.08788,1.08676,1.08728,18868,5,2830200000
2023-01-27 10:00:00,1.0873,1.0891,1.0865,1.08897,24960,5,3744000000
2023-01-27 11:00:00,1.08897,1.08917,1.08767,1.0883099999999999,23415,5,3512250000
2023-01-27 12:00:00,1.0883,1.08947,1.0882,1.08885,20521,5,3078150000
2023-01-27 13:00:00,1.08885,1.08932,1.08747,1.08784,21587,5,3238050000
2023-01-27 14:00:00,1.08784,1.08801,1.08656,1.0866,21542,5,3231300000
2023-01-27 15:00:00,1.0866,1.08774,1.08588,1.08615,27990,5,4198500000
2023-01-27 16:00:00,1.08616,1.0876,1.08445,1.08646,31235,5,4685250000
2023-01-27 17:00:00,1.08657,1.08784,1.0836999999999999,1.0838,32552,5,4882800000
2023-01-27 18:00:00,1.08377,1.08671,1.08375,1.08558,29131,5,4369650000
2023-01-27 19:00:00,1.08558,1.08714,1.08519,1.08658,24269,5,3640350000
2023-01-27 20:00:00,1.08658,1.08669,1.08557,1.08652,21796,5,3269400000
2023-01-27 21:00:00,1.08652,1.08719,1.08636,1.08679,18845,5,2826750000
2023-01-27 22:00:00,1.08679,1.08722,1.08631,1.08645,19201,13,2880150000
2023-01-27 23:00:00,1.08644,1.08692,1.0864,1.08685,8158,13,1223700000
2023-01-30 00:00:00,1.08639,1.08652,1.08595,1.08639,2265,24,339750000
2023-01-30 01:00:00,1.08639,1.08719,1.08639,1.0871,9468,19,1420200000
2023-01-30 02:00:00,1.0871,1.08747,1.08686,1.08741,13493,13,2023950000
2023-01-30 03:00:00,1.08741,1.08745,1.0860400000000001,1.08729,19652,13,2947800000
2023-01-30 04:00:00,1.08728,1.08728,1.08649,1.08684,18426,13,2763900000
2023-01-30 05:00:00,1.08684,1.08687,1.08638,1.08678,16285,13,2442750000
2023-01-30 06:00:00,1.08678,1.0878700000000001,1.08674,1.08756,20887,13,3133050000
2023-01-30 07:00:00,1.08755,1.08761,1.08636,1.08683,18735,6,2810250000
2023-01-30 08:00:00,1.08683,1.08688,1.08575,1.08611,17549,6,2632350000
2023-01-30 09:00:00,1.08611,1.08694,1.08523,1.08588,22748,5,3412200000
2023-01-30 10:00:00,1.08591,1.08889,1.08591,1.08806,28341,5,4251150000
2023-01-30 11:00:00,1.08806,1.09034,1.08757,1.09012,25591,5,3838650000
2023-01-30 12:00:00,1.09012,1.09135,1.0901,1.091,23723,5,3558450000
2023-01-30 13:00:00,1.091,1.09109,1.089,1.08956,23545,5,3531750000
2023-01-30 14:00:00,1.08956,1.0909,1.08925,1.0903100000000001,22230,5,3334500000
2023-01-30 15:00:00,1.0903100000000001,1.09104,1.08854,1.08855,25772,5,3865800000
2023-01-30 16:00:00,1.08855,1.0899,1.0879,1.08906,29555,5,4433250000
2023-01-30 17:00:00,1.08906,1.08987,1.08669,1.08699,32224,5,4833600000
2023-01-30 18:00:00,1.08699,1.08739,1.086,1.08652,28891,5,4333650000
2023-01-30 19:00:00,1.08652,1.08662,1.08566,1.08571,25280,5,3792000000
2023-01-30 20:00:00,1.08571,1.08602,1.08496,1.08538,21935,5,3290250000
2023-01-30 21:00:00,1.08538,1.08552,1.08384,1.08455,21825,5,3273750000
2023-01-30 22:00:00,1.08455,1.08537,1.08434,1.08449,20220,13,3033000000
2023-01-30 23:00:00,1.08451,1.08514,1.08448,1.08473,7936,19,1190400000
2023-01-31 00:00:00,1.08476,1.08515,1.08464,1.08499,3816,23,572400000
2023-01-31 01:00:00,1.085,1.08503,1.08459,1.0849199999999999,3357,19,503550000
2023-01-31 02:00:00,1.0849199999999999,1.08563,1.0848200000000001,1.08531,13411,13,2011650000
2023-01-31 03:00:00,1.08531,1.08594,1.08504,1.08568,17188,13,2578200000
2023-01-31 04:00:00,1.08569,1.08584,1.08493,1.08511,17543,13,2631450000
2023-01-31 05:00:00,1.08511,1.08519,1.08434,1.08439,16060,13,2409000000
2023-01-31 06:00:00,1.08439,1.08456,1.08388,1.08454,16476,13,2471400000
2023-01-31 07:00:00,1.08454,1.0846,1.08323,1.08339,15153,5,2272950000
2023-01-31 08:00:00,1.08339,1.08419,1.0830899999999999,1.08386,17429,6,2614350000
2023-01-31 09:00:00,1.0838700000000001,1.08489,1.08334,1.08433,21920,5,3288000000
2023-01-31 10:00:00,1.08433,1.08442,1.0802,1.08025,28465,5,4269750000
2023-01-31 11:00:00,1.08025,1.08336,1.08012,1.0829,25173,5,3775950000
2023-01-31 12:00:00,1.0829,1.08306,1.08196,1.08221,23168,5,3475200000
